date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2025-01-14,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904']",9,7769,14
2025-01-15,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904']",9,7769,14
2025-01-16,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:916525']",10,7771,16
2025-01-17,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:797839']",11,7779,12
2025-01-18,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2025-01-19,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2025-01-20,monday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:797839']",5,7666,25
2025-01-21,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904']",9,7769,14
2025-01-22,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904']",9,7769,14
2025-01-23,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:916525']",10,7771,16
2025-01-24,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:797839']",11,7779,12
2025-01-25,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
