date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2025-06-24,tuesday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-06-25,wednesday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-06-26,thursday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-06-27,friday,"['100347-5', '100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",4,13806,14
2025-06-28,saturday,['100347-10'],1,9687,6
2025-06-29,sunday,[],0,0,1
2025-06-30,monday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-07-01,tuesday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-07-02,wednesday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-07-03,thursday,"['100347-0908c966eabe46c1', '100347-07b2cf94d333d9ff', '100347-046dc0c6bdea2e78']",3,13801,4
2025-07-04,friday,['100347-3'],1,4178,13
