date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-12-27,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,15662,9
2024-12-28,saturday,"['2152-2', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",7,9774,11
2024-12-29,sunday,"['2152-3', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",6,7028,13
2024-12-30,monday,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']",7,15659,7
2024-12-31,tuesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15658,2
2025-01-01,wednesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",10,15671,1
2025-01-02,thursday,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15670,3
2025-01-03,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15675,8
2025-01-04,saturday,"['2152-2', '2152-16', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,9794,10
2025-01-05,sunday,"['2152-3', '2152-17', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,7048,12
2025-01-06,monday,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']",8,15672,6
2025-01-07,tuesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",10,15671,1
2025-01-08,wednesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",10,15671,1
2025-01-09,thursday,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15670,3
2025-01-10,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15675,8
2025-01-11,saturday,"['2152-2', '2152-16', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,9794,10
2025-01-12,sunday,"['2152-3', '2152-17', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,7048,12
2025-01-13,monday,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']",8,15672,6
2025-01-14,tuesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",10,15671,1
2025-01-15,wednesday,"['2152-12', '2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",10,15671,1
2025-01-16,thursday,"['2152-13', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15670,3
2025-01-17,friday,"['2152-15', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,15675,8
2025-01-18,saturday,"['2152-2', '2152-16', '2152-44724ac3e656a967fff0dd7a6ce4d8c8', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-6a0d6b0fbab66de3', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",9,9794,10
2025-01-19,sunday,"['2152-3', '2152-17', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-2f657731806a2eb6', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef', '2152-84d605202857e4bf']",8,7048,12
2025-01-20,monday,"['2152-13', '2152-d3dfa64941858f3632c262bc6e1e740e', '2152-1d0d7813d04d6790', '2152-55b47668541a2d2b', '2152-6a0d6b0fbab66de3', '2152-f690541c209b3828', '2152-598a5145d5ca0fb9', '2152-3277a7d0c2ba56ef']",8,15672,6
