category,Active_Services,Date_List,Number_of_Active_Trips
1,"['371-2', '371-21', '371-402', '371-1521']","['2024-12-16', '2024-12-17', '2024-12-18', '2024-12-19', '2024-12-23', '2024-12-24', '2024-12-26', '2024-12-30', '2025-01-02', '2025-01-06', '2025-01-07', '2025-01-08', '2025-01-09', '2025-01-13', '2025-01-14', '2025-01-15', '2025-01-16']",8630
2,"['371-2', '371-21', '371-502']","['2024-12-20', '2024-12-27', '2025-01-03', '2025-01-10', '2025-01-17']",8580
3,"['371-2', '371-402', '371-13']",['2024-12-31'],8648
4,['371-3'],"['2024-12-21', '2024-12-28', '2025-01-04', '2025-01-11', '2025-01-18']",6335
5,['371-4'],"['2024-12-22', '2024-12-25', '2024-12-29', '2025-01-01', '2025-01-05', '2025-01-12', '2025-01-19']",6060
