category,Active_Services,Date_List,Number_of_Active_Trips
1,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4401']","['2024-11-20', '2024-11-21', '2024-11-27', '2024-11-28', '2024-12-04', '2024-12-05', '2024-12-11', '2024-12-12', '2024-12-18', '2024-12-19']",39480
2,"['1703-1', '1703-9109368be075b49bf753ae6a3676b9d0', '1703-401', '1703-4501']","['2024-11-19', '2024-11-22', '2024-11-26', '2024-11-29', '2024-12-03', '2024-12-06', '2024-12-10', '2024-12-13', '2024-12-17', '2024-12-20']",39482
3,"['1703-1', '1703-f1972e1ef0121e0881dd6fcc009ed337', '1703-401', '1703-4401']","['2024-11-18', '2024-11-25', '2024-12-02', '2024-12-09', '2024-12-16']",39457
4,"['1703-2', '1703-9109368be075b49bf753ae6a3676b9d0']","['2024-11-23', '2024-11-30', '2024-12-07', '2024-12-14', '2024-12-21']",31357
5,['1703-3'],['2024-11-17'],27918
6,"['1703-3', '1703-f776e9e3c74629a49deff4fd3897b45f']","['2024-11-24', '2024-12-01', '2024-12-08', '2024-12-15']",28315
7,['1703-f776e9e3c74629a49deff4fd3897b45f'],['2024-12-22'],397
