date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-10-23,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-10-24,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-10-25,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-10-26,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-10-27,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-10-28,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-10-29,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-10-30,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-10-31,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-01,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-02,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-11-03,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-11-04,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-11-05,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-06,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-07,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-08,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-09,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-11-10,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-11-11,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-11-12,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-13,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-14,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-15,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-16,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-11-17,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-11-18,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-11-19,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-20,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-21,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-22,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-23,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-11-24,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-11-25,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-11-26,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-27,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-28,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-29,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-11-30,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,18809,14
2024-12-01,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b']",2,16560,17
2024-12-02,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5']",2,24192,2
2024-12-03,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f']",3,24206,6
2024-12-04,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-2001', '1681-259701', '1681-43501', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,7
2024-12-05,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,8
2024-12-06,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1201', '1681-152301', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-701', '1681-251b60a7488ece4b']",12,24874,9
2024-12-07,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-92402', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",6,18846,16
2024-12-08,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-253403', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,16605,18
2024-12-09,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",12,24734,3
2024-12-10,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,8
2024-12-11,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-2001', '1681-259701', '1681-43501', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,7
2024-12-12,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,8
2024-12-13,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1201', '1681-152301', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-701', '1681-251b60a7488ece4b']",12,24874,9
2024-12-14,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-92402', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",6,18846,16
2024-12-15,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-253403', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,16605,18
2024-12-16,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",12,24734,3
2024-12-17,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,8
2024-12-18,wednesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-2001', '1681-259701', '1681-43501', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,7
2024-12-19,thursday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1101', '1681-152201', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-75301', '1681-801', '1681-251b60a7488ece4b']",13,24748,8
2024-12-20,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-101', '1681-1201', '1681-152301', '1681-155601', '1681-259701', '1681-43501', '1681-62101', '1681-701', '1681-251b60a7488ece4b']",12,24874,9
2024-12-21,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,18844,15
2024-12-22,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-253403', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,16605,18
2024-12-23,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-1101', '1681-152201', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']",10,24627,4
2024-12-24,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-1101', '1681-152201', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-92501', '1681-251b60a7488ece4b']",11,24641,10
2024-12-25,wednesday,"['1681-3', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-253403', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",6,16602,19
2024-12-26,thursday,"['1681-2', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",4,18830,13
2024-12-27,friday,"['1681-1', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-1201', '1681-152301', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']",10,24769,5
2024-12-28,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,18844,15
2024-12-29,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-253403', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,16605,18
2024-12-30,monday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-1101', '1681-152201', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']",10,24627,4
2024-12-31,tuesday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-1101', '1681-152301', '1681-201', '1681-259701', '1681-35301', '1681-801', '1681-92501', '1681-251b60a7488ece4b']",11,24834,11
2025-01-01,wednesday,"['1681-3', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-253403', '1681-42f9124b35a26f4333508fcf163e6496', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",7,16698,20
2025-01-02,thursday,"['1681-1', '1681-b0fddd2228676f0a1d7a7c32140998b5', '1681-1101', '1681-152201', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']",10,24627,4
2025-01-03,friday,"['1681-1', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-1201', '1681-152301', '1681-155601', '1681-201', '1681-259701', '1681-43501', '1681-801', '1681-251b60a7488ece4b']",11,24766,12
2025-01-04,saturday,"['1681-2', '1681-cf3950e51e9619ab179334263bb401b6', '1681-c37cbe9665f6853f', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,18844,15
2025-01-05,sunday,"['1681-3', '1681-b2aeb8e977a67594697b15a549a39a9b', '1681-253403', '1681-251b60a7488ece4b', '1681-c1a13723f5a97554']",5,16605,18
2025-01-06,monday,['1681-b0fddd2228676f0a1d7a7c32140998b5'],1,33,21
